application_number,status
80198382,Approved
80198432,Refused
80198462,Approved
80198502,Approved
80198512,Approved
80198682,Refused
80198822,Approved
80198982,Approved
80199232,Approved
80199572,Approved
80201172,Approved
80202022,Approved
80202872,Approved
80202972,Refused
80203212,Approved
80204282,Approved
80204922,Approved
80204982,Refused
80206462,Refused
80207412,Refused
80207552,Approved
80207832,Approved
80208842,Approved
80209342,Approved
80209452,Approved
80209592,Refused
80210082,Approved
80210492,Approved
80213252,Approved
80213392,Approved
80215542,Refused
80221102,Approved
80221182,Refused
80221582,Approved
80221692,Refused
80221832,Approved
80221852,Approved
80222052,Approved
80222322,Approved
80222372,Approved
80222552,Approved
80222572,Approved
80222622,Approved
80224722,Approved
80224962,Refused
80225262,Approved
80225792,Approved
80226302,Approved
80227102,Refused
80227232,Approved
80227942,Approved
80229042,Approved
80229382,Approved
80229422,Approved
80229732,Approved
80230362,Approved
80231142,Approved
80232992,Approved
80233052,Approved
80233542,Approved
80235622,Approved
80236632,Refused
80236792,Refused
80239562,Approved
80240512,Approved
80241332,Refused
80243822,Refused
80244932,Approved
80245032,Approved
80245452,Refused
80245792,Approved
80246782,Approved
80246842,Approved
80246962,Refused
80247542,Approved
80247682,Approved
80247822,Approved
80247952,Approved
80248182,Approved
80248242,Approved
80248582,Refused
80248782,Approved
80248992,Approved
80249172,Approved
80250032,Refused
80251002,Refused
80251432,Refused
80252852,Refused
80254352,Approved
80254522,Approved
80254672,Approved
80254812,Approved
80255052,Approved
80258272,Refused
80263982,Approved
80264362,Refused
80264462,Approved
80264472,Approved
80264612,Approved
80264722,Approved
80265032,Refused
80265562,Refused
80267022,Refused
80267532,Refused
80267832,Approved
80268172,Refused
80268262,Refused
80268432,Approved
80268462,Refused
80268512,Approved
80268852,Approved
80269152,Approved
80269372,Refused
80269442,Refused
80269642,Approved
80269942,Approved
80270152,Refused
80270992,Refused
80271322,Approved
80271472,Approved
80271832,Refused
80271882,Approved
80272012,Approved
80272302,Approved
80275812,Approved
80275862,Approved
80275922,Approved
80275992,Approved
80276132,Approved
80276262,Approved
80276312,Approved
80276662,Refused
80276722,Refused
80277332,Approved
80278172,Approved
80278862,Approved
80279222,Approved
80280962,Refused
80280972,Approved
80281232,Approved
80281392,Approved
80281482,Refused
80281542,Refused
80282262,Refused
80282462,Refused
80283362,Approved
80283392,Approved
80283462,Refused
80283492,Refused
80283622,Refused
80283652,Approved
80283922,Refused
80284402,Approved
80284832,Approved
80285212,Approved
80285632,Refused
80286952,Approved
80288252,Refused
80288922,Approved
80295042,Approved
80295432,Refused
80298422,Refused
80299272,Refused
80299962,Refused
80300782,Refused
80303392,Approved
80305912,Approved
80306132,Approved
80307392,Refused
80311362,Approved
80311472,Refused
80312152,Approved
80312222,Approved
80312292,Approved
80312712,Approved
80312842,Approved
80313182,Approved
80313242,Approved
80313272,Approved
80313412,Approved
80313452,Approved
80313592,Approved
80313732,Approved
80314032,Approved
80314122,Refused
80314222,Refused
80314672,Approved
80314732,Approved
80314872,Refused
80315402,Refused
80316032,Approved
80316402,Approved
80316592,Refused
80316672,Approved
80317542,Approved
80317722,Approved
80317812,Refused
80318242,Approved
80319102,Approved
80319642,Approved
80319802,Approved
80320152,Approved
80321262,Approved
80323332,Approved
80324362,Approved
80324532,Approved
80325342,Approved
80326052,Approved
80326422,Approved
80329482,Approved
80329642,Approved
80330712,Approved
80332132,Approved
80332452,Refused
80335772,Approved
80335982,Approved
80336112,Approved
80336392,Approved
80337002,Approved
80337082,Refused
80337262,Approved
80337302,Approved
80337342,Approved
80337432,Approved
80338282,Refused
80338332,Approved
80338352,Refused
80338712,Refused
80338972,Refused
80339792,Refused
80340982,Approved
80341382,Approved
80341412,Approved
80342762,Refused
80343072,Approved
80343862,Approved
80343962,Refused
80346232,Refused
80347602,Refused
80349512,Refused
80351182,Approved
80359672,Approved
80359722,Approved
80360062,Refused
80360322,Refused
80360372,Refused
80360452,Refused
80360502,Refused
80361352,Refused
80361962,Approved
80362512,Refused
80363202,Approved
80363762,Approved
80363912,Approved
80364732,Refused
80365032,Refused
80365262,Refused
80365492,Refused
80365912,Approved
80366512,Approved
80366592,Approved
80366642,Refused
80368012,Approved
80368682,Approved
80368942,Refused
80369622,Approved
80369812,Approved
80371912,Approved
80371932,Approved
80375492,Approved
80375632,Approved
80375832,Refused
80378812,Approved
80380242,Approved
80380572,Approved
80382022,Approved
80382102,Approved
80382142,Approved
80382162,Approved
80382232,Refused
80382252,Approved
80382702,Approved
80382832,Refused
80383402,Refused
80383412,Approved
80383502,Approved
80383602,Refused
80384852,Refused
80385532,Approved
80385752,Refused
80385952,Refused
80386062,Refused
80386472,Refused
80386642,Approved
80387172,Approved
80387242,Refused
80387832,Approved
80388192,Approved
80388512,Approved
80389352,Approved
80389502,Approved
80389612,Approved
80389652,Approved
80389662,Approved
80390062,Approved
80390682,Approved
80390862,Refused
80391132,Approved
80393492,Approved
80397022,Refused
80397642,Approved
80397702,Refused
80403442,Approved
80404342,Approved
80404352,Refused
80404402,Approved
80404862,Approved
80405212,Approved
80405722,Refused
80406082,Refused
80406532,Refused
80406672,Refused
80406712,Approved
80407042,Refused
80407052,Approved
80407482,Refused
80407972,Approved
80408072,Approved
80408082,Refused
80408242,Refused
80408632,Refused
80408642,Refused
80408702,Refused
80408812,Refused
80409052,Refused
80409402,Approved
80409422,Refused
80409862,Refused
80410652,Approved
80411042,Refused
80411192,Refused
80411262,Refused
80411682,Approved
80411712,Approved
80411812,Approved
80412312,Refused
80413562,Refused
80415142,Refused
80415512,Approved
80415782,Refused
80416122,Approved
80416302,Approved
80424362,Approved
80424942,Approved
80425032,Approved
80425172,Approved
80425272,Approved
80426022,Approved
80426062,Approved
80426362,Approved
80426542,Approved
80426612,Approved
80426622,Approved
80426632,Refused
80426722,Approved
80426752,Approved
80426952,Refused
80427542,Refused
80427632,Refused
80427652,Refused
80427712,Approved
80427722,Refused
80427742,Approved
80427982,Approved
80428542,Refused
80428562,Approved
80429212,Refused
80429512,Approved
80429602,Approved
80429632,Approved
80430082,Refused
80430262,Approved
80430542,Approved
80432902,Approved
80435892,Approved
80437252,Approved
80438582,Refused
80441372,Approved
80441682,Refused
80442382,Refused
80443632,Refused
80444352,Approved
80446172,Approved
80446362,Approved
80446502,Approved
80448592,Approved
80448922,Approved
80450122,Refused
80450392,Approved
80452382,Approved
80455782,Approved
80456212,Approved
80456532,Refused
80456682,Approved
80456722,Refused
80456792,Approved
80456922,Approved
80456942,Refused
80457022,Approved
80457032,Approved
80457042,Refused
80457172,Approved
80457202,Approved
80457422,Approved
80457502,Approved
80457612,Approved
80457672,Refused
80457912,Approved
80458012,Approved
80458082,Approved
80458722,Approved
80459392,Approved
80459712,Approved
80461052,Approved
80461212,Approved
80461402,Approved
80462032,Refused
80462072,Approved
80462202,Refused
80462322,Approved
80462492,Approved
80462652,Approved
80462842,Refused
80462872,Refused
80462962,Approved
80463002,Approved
80463402,Refused
80464152,Refused
80464412,Refused
80464622,Refused
80465282,Refused
80465522,Approved
80465562,Refused
80466752,Refused
80468572,Refused
80469912,Refused
80470032,Approved
80471572,Approved
80475852,Approved
80476892,Approved
80481012,Approved
80481292,Approved
80481622,Refused
80481712,Refused
80481862,Refused
80481892,Refused
80482392,Refused
80482792,Approved
80482872,Approved
80483142,Approved
80483782,Approved
80483872,Refused
80483972,Approved
80484072,Approved
80484372,Approved
80484382,Approved
80484392,Approved
80484402,Approved
80484442,Approved
80484472,Approved
80484522,Approved
80485182,Approved
80485192,Refused
80485292,Refused
80485412,Refused
80486632,Approved
80487372,Approved
80487412,Approved
80488392,Refused
80489122,Refused
80489592,Approved
80489722,Approved
80489752,Approved
80490042,Approved
80490392,Refused
80490482,Approved
80491032,Refused
80491962,Approved
80491982,Approved
80494152,Approved
80495862,Approved
80496162,Approved
80497212,Approved
80498982,Approved
80499342,Refused
80499792,Refused
80502132,Refused
80504152,Approved
80504292,Approved
80504522,Approved
80504622,Refused
80504802,Refused
80504832,Approved
80505022,Refused
80505082,Refused
80505422,Approved
80505542,Refused
80505752,Approved
80506342,Approved
80506422,Refused
80506572,Approved
80506772,Approved
80507032,Approved
80508132,Approved
80508222,Approved
80508382,Approved
80508512,Approved
80508592,Approved
80509302,Refused
80509722,Refused
80510322,Approved
80510822,Approved
80510952,Approved
80511202,Approved
80511342,Approved
80511422,Approved
80513342,Approved
80513462,Refused
80514252,Approved
80514472,Approved
80514682,Approved
80516292,Approved
80517082,Approved
80517592,Refused
80518082,Refused
80519212,Refused
80520872,Refused
80521692,Refused
80526772,Refused
80526942,Approved
80527052,Approved
80527192,Approved
80527262,Refused
80527282,Approved
80527312,Refused
80527392,Approved
80527992,Refused
80528222,Refused
80528832,Refused
80528932,Approved
80529212,Refused
80529462,Approved
80529482,Refused
80530922,Approved
80531342,Approved
80531502,Approved
80531672,Approved
80531862,Approved
80532092,Approved
80532782,Refused
80533062,Refused
80533112,Refused
80533182,Approved
80533462,Approved
80533502,Approved
80533982,Refused
80534552,Approved
80534622,Refused
80534722,Approved
80535152,Approved
80535252,Approved
80535342,Approved
80535392,Approved
80535522,Approved
80535602,Approved
80535612,Refused
80535842,Approved
80536092,Approved
80536592,Approved
80536812,Approved
80536952,Approved
80537282,Refused
80537342,Approved
80537872,Refused
80540262,Approved
80540622,Approved
80540872,Approved
80541192,Approved
80541462,Approved
80542522,Approved
80543442,Approved
80544462,Approved
80548762,Approved
80549052,Approved
80549432,Approved
80549632,Approved
80549842,Approved
80549852,Refused
80550422,Refused
80550552,Refused
80550562,Approved
80550802,Approved
80551012,Approved
80551382,Approved
80551882,Refused
80552982,Approved
80553092,Approved
80553522,Refused
80553652,Approved
80553842,Refused
80554282,Refused
80554412,Approved
80554532,Refused
80554582,Refused
80554822,Approved
80555042,Refused
80555082,Approved
80555452,Approved
